11/23/22 14:58:21 AscImageTM Offset=101150, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=103173, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=105196, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=107219, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=109242, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=111265, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=113288, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=115311, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=117334, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=119357, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=121380, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=123403, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=125426, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=127449, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=129472, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=131495, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=133518, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=135541, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=137564, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=139587, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=141610, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=143633, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=145656, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=147679, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=149702, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=151725, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=153748, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=155771, Size=2023  
11/23/22 14:58:21 AscImageTM Offset=157794, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=159817, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=161840, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=163863, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=165886, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=167909, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=169932, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=171955, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=173978, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=176001, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=178024, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=180047, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=182070, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=184093, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=186116, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=188139, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=190162, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=192185, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=194208, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=196231, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=198254, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=200277, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=202300, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=204323, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=206346, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=208369, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=210392, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=212415, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=214438, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=216461, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=218484, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=220507, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=222530, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=224553, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=226576, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=228599, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=230622, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=232645, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=234668, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=236691, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=238714, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=240737, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=242760, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=244783, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=246806, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=248829, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=250852, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=252875, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=254898, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=256921, Size=2023  
11/23/22 14:58:22 AscImageTM Offset=258944, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=260967, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=262990, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=265013, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=267036, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=269059, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=271082, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=273105, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=275128, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=277151, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=279174, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=281197, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=283220, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=285243, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=287266, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=289289, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=291312, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=293335, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=295358, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=297381, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=299404, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=301427, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=303450, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=305473, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=307496, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=309519, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=311542, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=313565, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=315588, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=317611, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=319634, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=321657, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=323680, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=325703, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=327726, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=329749, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=331772, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=333795, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=335818, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=337841, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=339864, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=341887, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=343910, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=345933, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=347956, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=349979, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=352002, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=354025, Size=2023  
11/23/22 14:58:23 AscImageTM Offset=356048, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=358071, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=360094, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=362117, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=364140, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=366163, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=368186, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=370209, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=372232, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=374255, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=376278, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=378301, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=380324, Size=2023  
