N,posX,posY
1,-0,-0
2,-7.377,6.15
3,-10.25,14.372
4,-17.651,15.636
5,-15.592,8.216
6,-17.239,2.876
7,-19.713,-18.541
8,-21.364,-26.857
9,-18.475,-27.662
10,-24.259,-39.917
11,-15.181,-36.838
12,-10.66,-30.521
13,-2.458,-35.924
14,-3.278,-41.397
15,4.917,-40.98
16,7.377,-36.36
17,25.917,-40.795
18,16.004,-24.731
19,23.845,-10.302
20,28.824,-2.064
21,28.408,6.605
22,20.125,12.76
