12/06/22 13:29:22 AscTCVerTM Acceptance success, ID:0x1f91, Seq:0  
12/06/22 13:29:22 AscTCVerTM Execution success, ID:0x1f91, Seq:0  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:3  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:1  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:2  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:4  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:5  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:6  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:9  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:10  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:11  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:17  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:14853  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0x1f91, Seq:12  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:3  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:1  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:2  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:4  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:5  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:6  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:9  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:10  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:11  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:17  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0x1f91, Seq:12  
12/06/22 13:29:40 AscTCVerTM Acceptance success, ID:0xff91, Seq:4098  
12/06/22 13:29:40 AscTCVerTM Execution success, ID:0xff91, Seq:4098  
12/06/22 13:29:41 AscTCVerTM Acceptance success, ID:0xff91, Seq:4104  
12/06/22 13:29:41 AscTCVerTM Execution success, ID:0xff91, Seq:4104  
12/06/22 13:29:45 AscTCVerTM Acceptance success, ID:0xff91, Seq:4153  
12/06/22 13:29:45 AscTCVerTM Execution success, ID:0xff91, Seq:4153  
12/06/22 13:29:45 AscTCVerTM Acceptance success, ID:0xff91, Seq:4105  
12/06/22 13:29:45 AscTCVerTM Execution success, ID:0xff91, Seq:4105  
12/06/22 13:29:46 AscTCVerTM Acceptance success, ID:0xff91, Seq:4144  
12/06/22 13:29:47 AscTCVerTM Execution success, ID:0xff91, Seq:4144  
12/06/22 13:29:47 AscTCVerTM Acceptance success, ID:0xff91, Seq:4103  
12/06/22 13:29:47 AscTCVerTM Execution success, ID:0xff91, Seq:4103  
12/06/22 13:29:47 AscTCVerTM Acceptance success, ID:0xff91, Seq:4152  
12/06/22 13:29:47 AscImageTM Offset=     0, Size=2023  
12/06/22 13:29:47 AscImageTM Offset=  2023, Size=2023  
12/06/22 13:29:47 AscImageTM Offset=  4046, Size=2023  
12/06/22 13:29:47 AscImageTM Offset=  6069, Size=2023  
12/06/22 13:29:47 AscImageTM Offset=  8092, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 10115, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 12138, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 14161, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 16184, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 18207, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 20230, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 22253, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 24276, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 26299, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 28322, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 30345, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 32368, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 34391, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 36414, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 38437, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 40460, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 42483, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 44506, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 46529, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 48552, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 50575, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 52598, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 54621, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 56644, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 58667, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 60690, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 62713, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 64736, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 66759, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 68782, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 70805, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 72828, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 74851, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 76874, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 78897, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 80920, Size=2023  
12/06/22 13:29:47 AscImageTM Offset= 82943, Size=2023  
12/06/22 13:29:48 AscImageTM Offset= 84966, Size=2023  
12/06/22 13:29:48 AscImageTM Offset= 86989, Size=2023  
12/06/22 13:29:48 AscImageTM Offset= 89012, Size=2023  
12/06/22 13:29:48 AscImageTM Offset= 91035, Size=2023  
12/06/22 13:29:48 AscImageTM Offset= 93058, Size=2023  
12/06/22 13:29:48 AscImageTM Offset= 95081, Size=2023  
12/06/22 13:29:48 AscImageTM Offset= 97104, Size=2023  
12/06/22 13:29:48 AscImageTM Offset= 99127, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=101150, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=103173, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=105196, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=107219, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=109242, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=111265, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=113288, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=115311, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=117334, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=119357, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=121380, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=123403, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=125426, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=127449, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=129472, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=131495, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=133518, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=135541, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=137564, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=139587, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=141610, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=143633, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=145656, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=147679, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=149702, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=151725, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=153748, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=155771, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=157794, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=159817, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=161840, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=163863, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=165886, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=167909, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=169932, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=171955, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=173978, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=176001, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=178024, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=180047, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=182070, Size=2023  
12/06/22 13:29:48 AscImageTM Offset=184093, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=186116, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=188139, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=190162, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=192185, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=194208, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=196231, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=198254, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=200277, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=202300, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=204323, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=206346, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=208369, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=210392, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=212415, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=214438, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=216461, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=218484, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=220507, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=222530, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=224553, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=226576, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=228599, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=230622, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=232645, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=234668, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=236691, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=238714, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=240737, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=242760, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=244783, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=246806, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=248829, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=250852, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=252875, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=254898, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=256921, Size=2023  
12/06/22 13:29:49 AscImageTM Offset=258944, Size=2023  
