N,posX,posY
1,-0,0
2,5.554,8.977
3,12.827,10.701
4,12.399,2.139
5,21.413,5.146
6,29.618,6.886
7,19.263,-2.143
8,28.319,-16.365
9,14.541,-28.803
10,24.43,-38.518
11,17.115,-34.919
12,8.547,-32.677
13,-5.554,-33.1
14,-11.542,-41.003
15,-14.112,-36.202
16,-19.263,-40.644
17,-22.274,-32.792
18,-14.112,-31.841
19,-17.974,-24.495
20,-5.982,-9.405
21,-8.975,1.282
22,-17.544,4.712
23,-18.403,11.146
24,-11.114,10.697
